+-----------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+-----------------+
| Name                                          | Description                                                                                                                                               | Downloads (total=3505206980) | MaxVersion      |
| google-appstate1                              | A complete library to interact with App State (protocol v1)                                                                                               | 78953                        | 7.0.0+20190627  |
| google-appstate1-cli                          | A complete library to interact with App State (protocol v1)                                                                                               | 36434                        | 7.0.0+20190627  |
| google-area120tables1_alpha1                  | A complete library to interact with Area120 Tables (protocol v1alpha1)                                                                                    | 17409                        | 7.0.0+20251222  |
| google-area120tables1_alpha1-cli              | A complete library to interact with Area120 Tables (protocol v1alpha1)                                                                                    | 9070                         | 7.0.0+20251222  |
| google-artifactregistry1                      | A complete library to interact with Artifact Registry (protocol v1)                                                                                       | 17645                        | 7.0.0+20251209  |
| google-artifactregistry1-cli                  | A complete library to interact with Artifact Registry (protocol v1)                                                                                       | 9178                         | 7.0.0+20251209  |
| google-artifactregistry1_beta1                | A complete library to interact with Artifact Registry (protocol v1beta1)                                                                                  | 19040                        | 7.0.0+20251209  |
| google-artifactregistry1_beta1-cli            | A complete library to interact with Artifact Registry (protocol v1beta1)                                                                                  | 10601                        | 7.0.0+20251209  |
| google-assuredworkloads1                      | A complete library to interact with Assuredworkloads (protocol v1)                                                                                        | 17841                        | 7.0.0+20251211  |
| google-assuredworkloads1-cli                  | A complete library to interact with Assuredworkloads (protocol v1)                                                                                        | 9128                         | 7.0.0+20251211  |
| google-audit1                                 | A complete library to interact with audit (protocol v1)                                                                                                   | 22410                        | 0.1.11+20150419 |
| google-authorizedbuyersmarketplace1           | A complete library to interact with Authorized Buyers Marketplace (protocol v1)                                                                           | 12441                        | 7.0.0+20251211  |
| google-authorizedbuyersmarketplace1-cli       | A complete library to interact with Authorized Buyers Marketplace (protocol v1)                                                                           | 5322                         | 7.0.0+20251211  |
| google-autoscaler1_beta2                      | A complete library to interact with autoscaler (protocol v1beta2)                                                                                         | 66668                        | 7.0.0+20150629  |
| google-autoscaler1_beta2-cli                  | A complete library to interact with autoscaler (protocol v1beta2)                                                                                         | 30173                        | 7.0.0+20150629  |
| google-baremetalsolution2                     | A complete library to interact with baremetalsolution (protocol v2)                                                                                       | 12541                        | 7.0.0+20251008  |
| google-baremetalsolution2-cli                 | A complete library to interact with baremetalsolution (protocol v2)                                                                                       | 5494                         | 7.0.0+20251008  |
| google-bigquery2                              | A complete library to interact with Bigquery (protocol v2)                                                                                                | 144150                       | 7.0.0+20251130  |
| google-bigquery2-cli                          | A complete library to interact with Bigquery (protocol v2)                                                                                                | 29985                        | 7.0.0+20251130  |
| google-bigqueryconnection1_beta1              | A complete library to interact with BigQuery Connection Service (protocol v1beta1)                                                                        | 18758                        | 7.0.0+20251130  |
| google-bigqueryconnection1_beta1-cli          | A complete library to interact with BigQuery Connection Service (protocol v1beta1)                                                                        | 9261                         | 7.0.0+20251130  |
| google-bigquerydatatransfer1                  | A complete library to interact with BigQuery Data Transfer (protocol v1)                                                                                  | 32661                        | 7.0.0+20251213  |
| google-bigquerydatatransfer1-cli              | A complete library to interact with BigQuery Data Transfer (protocol v1)                                                                                  | 19162                        | 7.0.0+20251213  |
| google-bigqueryreservation1                   | A complete library to interact with BigQuery Reservation (protocol v1)                                                                                    | 18953                        | 7.0.0+20251207  |
| google-bigqueryreservation1-cli               | A complete library to interact with BigQuery Reservation (protocol v1)                                                                                    | 9017                         | 7.0.0+20251207  |
| google-bigtableadmin2                         | A complete library to interact with Bigtable Admin (protocol v2)                                                                                          | 46306                        | 5.0.4+20240221  |
| google-bigtableadmin2-cli                     | A complete library to interact with Bigtable Admin (protocol v2)                                                                                          | 13846                        | 5.0.4+20240221  |
| google-billingbudgets1                        | A complete library to interact with CloudBillingBudget (protocol v1)                                                                                      | 17559                        | 7.0.0+20251214  |
| google-billingbudgets1-cli                    | A complete library to interact with CloudBillingBudget (protocol v1)                                                                                      | 7894                         | 7.0.0+20251214  |
| google-billingbudgets1_beta1                  | A complete library to interact with CloudBillingBudget (protocol v1beta1)                                                                                 | 18925                        | 7.0.0+20251214  |
| google-billingbudgets1_beta1-cli              | A complete library to interact with CloudBillingBudget (protocol v1beta1)                                                                                 | 9096                         | 7.0.0+20251214  |
| google-binaryauthorization1                   | A complete library to interact with Binary Authorization (protocol v1)                                                                                    | 15838                        | 5.0.3+20230113  |
| google-binaryauthorization1-cli               | A complete library to interact with Binary Authorization (protocol v1)                                                                                    | 7028                         | 3.1.0+20220225  |
| google-binaryauthorization1_beta1             | A complete library to interact with Binary Authorization (protocol v1beta1)                                                                               | 24158                        | 5.0.3+20230113  |
| google-binaryauthorization1_beta1-cli         | A complete library to interact with Binary Authorization (protocol v1beta1)                                                                               | 12686                        | 3.1.0+20220225  |
| google-blogger3                               | A complete library to interact with Blogger (protocol v3)                                                                                                 | 64063                        | 7.0.0+20251215  |
| google-blogger3-cli                           | A complete library to interact with Blogger (protocol v3)                                                                                                 | 29747                        | 7.0.0+20251215  |
| google-books1                                 | A complete library to interact with books (protocol v1)                                                                                                   | 74416                        | 7.0.0+20251209  |
| google-books1-cli                             | A complete library to interact with books (protocol v1)                                                                                                   | 32205                        | 7.0.0+20251209  |
| google-calendar3                              | A complete library to interact with calendar (protocol v3)                                                                                                | 174982                       | 7.0.0+20251214  |
| google-calendar3-cli                          | A complete library to interact with calendar (protocol v3)                                                                                                | 35088                        | 7.0.0+20251214  |
| google-certificatemanager1                    | A complete library to interact with Certificate Manager (protocol v1)                                                                                     | 12403                        | 7.0.0+20251204  |
| google-certificatemanager1-cli                | A complete library to interact with Certificate Manager (protocol v1)                                                                                     | 5384                         | 7.0.0+20251204  |
| google-chat1                                  | A complete library to interact with Hangouts Chat (protocol v1)                                                                                           | 16569                        | 2.0.8+20210324  |
| google-chat1-cli                              | A complete library to interact with Hangouts Chat (protocol v1)                                                                                           | 11563                        | 2.0.4+20210324  |
| google-chromemanagement1                      | A complete library to interact with Chrome Management (protocol v1)                                                                                       | 17606                        | 7.0.0+20251217  |
| google-chromemanagement1-cli                  | A complete library to interact with Chrome Management (protocol v1)                                                                                       | 7879                         | 7.0.0+20251217  |
| google-chromepolicy1                          | A complete library to interact with Chrome Policy (protocol v1)                                                                                           | 17519                        | 7.0.0+20251217  |
| google-chromepolicy1-cli                      | A complete library to interact with Chrome Policy (protocol v1)                                                                                           | 7896                         | 7.0.0+20251217  |
| google-chromeuxreport1                        | A complete library to interact with Chrome UX Report (protocol v1)                                                                                        | 19374                        | 7.0.0+20251229  |
| google-chromeuxreport1-cli                    | A complete library to interact with Chrome UX Report (protocol v1)                                                                                        | 9250                         | 7.0.0+20251229  |
| google-civicinfo2                             | A complete library to interact with Civic Info (protocol v2)                                                                                              | 29328                        | 1.0.0+20160823  |
| google-civicinfo2-cli                         | A complete library to interact with Civic Info (protocol v2)                                                                                              | 4011                         | 1.0.0+20160823  |
| google-classroom1                             | A complete library to interact with classroom (protocol v1)                                                                                               | 61951                        | 7.0.0+20251217  |
| google-classroom1-cli                         | A complete library to interact with classroom (protocol v1)                                                                                               | 30823                        | 7.0.0+20251217  |
| google-clis-common                            | Shared functionality among the google-api CLI crates.                                                                                                     | 33093                        | 8.0.0           |
| google-cloudasset1                            | A complete library to interact with Cloud Asset (protocol v1)                                                                                             | 24957                        | 7.0.0+20251212  |
| google-cloudasset1-cli                        | A complete library to interact with Cloud Asset (protocol v1)                                                                                             | 12619                        | 3.1.0+20220225  |
| google-cloudasset1_beta1                      | A complete library to interact with Cloud Asset (protocol v1beta1)                                                                                        | 27297                        | 7.0.0+20251212  |
| google-cloudasset1_beta1-cli                  | A complete library to interact with Cloud Asset (protocol v1beta1)                                                                                        | 16179                        | 7.0.0+20251212  |
| google-cloudbilling1                          | A complete library to interact with Cloudbilling (protocol v1)                                                                                            | 59535                        | 7.0.0+20251203  |
| google-cloudbilling1-cli                      | A complete library to interact with Cloudbilling (protocol v1)                                                                                            | 31392                        | 7.0.0+20251203  |
| google-cloudbuild1                            | A complete library to interact with Cloud Build (protocol v1)                                                                                             | 32642                        | 7.0.0+20251209  |
| google-cloudbuild1-cli                        | A complete library to interact with Cloud Build (protocol v1)                                                                                             | 16105                        | 7.0.0+20251209  |
| google-cloudchannel1                          | A complete library to interact with Cloudchannel (protocol v1)                                                                                            | 17514                        | 7.0.0+20251216  |
| google-cloudchannel1-cli                      | A complete library to interact with Cloudchannel (protocol v1)                                                                                            | 6505                         | 7.0.0+20251216  |
| google-cloudcommerceprocurement1              | A complete library to interact with Cloud Commerce Partner Procurement Service (protocol v1)                                                              | 5134                         | 7.0.0+20251214  |
| google-cloudcommerceprocurement1-cli          | A complete library to interact with Cloud Commerce Partner Procurement Service (protocol v1)                                                              | 1071                         | 7.0.0+20251214  |
| google-clouddebugger2                         | A complete library to interact with Cloud Debugger (protocol v2)                                                                                          | 58588                        | 7.0.0+20230113  |
| google-clouddebugger2-cli                     | A complete library to interact with Cloud Debugger (protocol v2)                                                                                          | 31356                        | 7.0.0+20230113  |
| google-clouddeploy1                           | A complete library to interact with Cloud Deploy (protocol v1)                                                                                            | 12375                        | 7.0.0+20251203  |
| google-clouddeploy1-cli                       | A complete library to interact with Cloud Deploy (protocol v1)                                                                                            | 3972                         | 7.0.0+20251203  |
| google-clouderrorreporting1_beta1             | A complete library to interact with Clouderrorreporting (protocol v1beta1)                                                                                | 62566                        | 7.0.0+20251205  |
| google-clouderrorreporting1_beta1-cli         | A complete library to interact with Clouderrorreporting (protocol v1beta1)                                                                                | 13996                        | 3.1.0+20220302  |
| google-cloudfunctions1                        | A complete library to interact with Cloud Functions (protocol v1)                                                                                         | 31913                        | 7.0.0+20251204  |
| google-cloudfunctions1-cli                    | A complete library to interact with Cloud Functions (protocol v1)                                                                                         | 17712                        | 7.0.0+20251204  |
| google-cloudidentity1                         | A complete library to interact with Cloud Identity (protocol v1)                                                                                          | 25287                        | 7.0.0+20251216  |
| google-cloudidentity1-cli                     | A complete library to interact with Cloud Identity (protocol v1)                                                                                          | 13307                        | 7.0.0+20251216  |
| google-cloudiot1                              | A complete library to interact with Cloud Iot (protocol v1)                                                                                               | 30441                        | 7.0.0+0         |
| google-cloudiot1-cli                          | A complete library to interact with Cloud Iot (protocol v1)                                                                                               | 17631                        | 7.0.0+0         |
| google-cloudkms1                              | A complete library to interact with Cloud KMS (protocol v1)                                                                                               | 85391                        | 7.0.0+20251203  |
| google-cloudkms1-cli                          | A complete library to interact with Cloud KMS (protocol v1)                                                                                               | 17928                        | 7.0.0+20251203  |
| google-cloudkms1_beta1                        | A complete library to interact with Cloud KMS (protocol v1beta1)                                                                                          | 32232                        | 7.0.0+20170515  |
| google-cloudkms1_beta1-cli                    | A complete library to interact with Cloud KMS (protocol v1beta1)                                                                                          | 21186                        | 7.0.0+20170515  |
| google-cloudlatencytest2                      | A complete library to interact with cloudlatencytest (protocol v2)                                                                                        | 61578                        | 7.0.0+20160309  |
| google-cloudlatencytest2-cli                  | A complete library to interact with cloudlatencytest (protocol v2)                                                                                        | 29428                        | 7.0.0+20160309  |
| google-cloudmonitoring2_beta2                 | A complete library to interact with Cloud Monitoring (protocol v2beta2)                                                                                   | 73696                        | 7.0.0+20170501  |
| google-cloudmonitoring2_beta2-cli             | A complete library to interact with Cloud Monitoring (protocol v2beta2)                                                                                   | 32472                        | 7.0.0+20170501  |
| google-cloudprivatecatalog1_beta1             | A complete library to interact with Cloud Private Catalog (protocol v1beta1)                                                                              | 24389                        | 7.0.0+20200405  |
| google-cloudprivatecatalog1_beta1-cli         | A complete library to interact with Cloud Private Catalog (protocol v1beta1)                                                                              | 12054                        | 7.0.0+20200405  |
| google-cloudprivatecatalogproducer1_beta1     | A complete library to interact with Cloud PrivateCatalog Producer (protocol v1beta1)                                                                      | 24295                        | 7.0.0+20200405  |
| google-cloudprivatecatalogproducer1_beta1-cli | A complete library to interact with Cloud PrivateCatalog Producer (protocol v1beta1)                                                                      | 13264                        | 7.0.0+20200405  |
| google-cloudprofiler2                         | A complete library to interact with Cloud Profiler (protocol v2)                                                                                          | 300570                       | 7.0.0+20251006  |
| google-cloudprofiler2-cli                     | A complete library to interact with Cloud Profiler (protocol v2)                                                                                          | 14618                        | 7.0.0+20251006  |
| google-cloudresourcemanager1                  | A complete library to interact with Cloud Resource Manager (protocol v1)                                                                                  | 62786                        | 7.0.0+20251103  |
| google-cloudresourcemanager1-cli              | A complete library to interact with Cloud Resource Manager (protocol v1)                                                                                  | 30880                        | 7.0.0+20251103  |
| google-cloudresourcemanager1_beta1            | A complete library to interact with Cloud Resource Manager (protocol v1beta1)                                                                             | 61436                        | 7.0.0+20251103  |
| google-cloudresourcemanager1_beta1-cli        | A complete library to interact with Cloud Resource Manager (protocol v1beta1)                                                                             | 32628                        | 7.0.0+20251103  |
| google-cloudresourcemanager2                  | A complete library to interact with Cloud Resource Manager (protocol v2)                                                                                  | 25713                        | 7.0.0+20251103  |
| google-cloudresourcemanager2-cli              | A complete library to interact with Cloud Resource Manager (protocol v2)                                                                                  | 14906                        | 7.0.0+20251103  |
| google-cloudresourcemanager3                  | A complete library to interact with Cloud Resource Manager (protocol v3)                                                                                  | 17602                        | 7.0.0+20251103  |
| google-cloudresourcemanager3-cli              | A complete library to interact with Cloud Resource Manager (protocol v3)                                                                                  | 6418                         | 7.0.0+20251103  |
| google-cloudscheduler1                        | A complete library to interact with Cloud Scheduler (protocol v1)                                                                                         | 24420                        | 7.0.0+20251212  |
| google-cloudscheduler1-cli                    | A complete library to interact with Cloud Scheduler (protocol v1)                                                                                         | 13177                        | 7.0.0+20251212  |
| google-cloudscheduler1_beta1                  | A complete library to interact with Cloud Scheduler (protocol v1beta1)                                                                                    | 24842                        | 7.0.0+20251212  |
| google-cloudscheduler1_beta1-cli              | A complete library to interact with Cloud Scheduler (protocol v1beta1)                                                                                    | 13422                        | 7.0.0+20251212  |
| google-cloudsearch1                           | A complete library to interact with cloudsearch (protocol v1)                                                                                             | 10104                        | 0.1.6+20150416  |
| google-cloudshell1                            | A complete library to interact with Cloud Shell (protocol v1)                                                                                             | 27381                        | 7.0.0+20251215  |
| google-cloudshell1-cli                        | A complete library to interact with Cloud Shell (protocol v1)                                                                                             | 16343                        | 6.0.0+20240624  |
| google-cloudsupport2_beta                     | A complete library to interact with Cloud Support (protocol v2beta)                                                                                       | 12397                        | 7.0.0+20251216  |
| google-cloudsupport2_beta-cli                 | A complete library to interact with Cloud Support (protocol v2beta)                                                                                       | 5351                         | 7.0.0+20251216  |
| google-cloudtasks2                            | A complete library to interact with Cloud Tasks (protocol v2)                                                                                             | 33408                        | 7.0.0+20251216  |
| google-cloudtasks2-cli                        | A complete library to interact with Cloud Tasks (protocol v2)                                                                                             | 14621                        | 7.0.0+20251216  |
| google-cloudtasks2_beta2                      | A complete library to interact with Cloud Tasks (protocol v2beta2)                                                                                        | 32978                        | 7.0.0+20251216  |
| google-cloudtasks2_beta2-cli                  | A complete library to interact with Cloud Tasks (protocol v2beta2)                                                                                        | 19221                        | 7.0.0+20251216  |
| google-cloudtasks2_beta3                      | A complete library to interact with Cloud Tasks (protocol v2beta3)                                                                                        | 34049                        | 7.0.0+20251216  |
| google-cloudtasks2_beta3-cli                  | A complete library to interact with Cloud Tasks (protocol v2beta3)                                                                                        | 16272                        | 7.0.0+20251216  |
| google-cloudtrace1                            | A complete library to interact with Cloud Trace (protocol v1)                                                                                             | 43013                        | 7.0.0+20251212  |
| google-cloudtrace1-cli                        | A complete library to interact with Cloud Trace (protocol v1)                                                                                             | 19626                        | 7.0.0+20251212  |
| google-cloudtrace2                            | A complete library to interact with Cloud Trace (protocol v2)                                                                                             | 29666                        | 7.0.0+20251212  |
| google-cloudtrace2-cli                        | A complete library to interact with Cloud Trace (protocol v2)                                                                                             | 17525                        | 7.0.0+20251212  |
| google-clouduseraccountsvm_beta               | A complete library to interact with Cloud User Accounts (protocol vm_beta)                                                                                | 49278                        | 7.0.0+20160316  |
| google-clouduseraccountsvm_beta-cli           | A complete library to interact with Cloud User Accounts (protocol vm_beta)                                                                                | 30423                        | 7.0.0+20160316  |
| google-commentanalyzer1_alpha1                | A complete library to interact with Comment Analyzer (protocol v1alpha1)                                                                                  | 24233                        | 7.0.0+20200405  |
| google-commentanalyzer1_alpha1-cli            | A complete library to interact with Comment Analyzer (protocol v1alpha1)                                                                                  | 14624                        | 7.0.0+20200405  |
| google-composer1                              | A complete library to interact with Cloud Composer (protocol v1)                                                                                          | 27505                        | 7.0.0+20251209  |
| google-composer1-cli                          | A complete library to interact with Cloud Composer (protocol v1)                                                                                          | 16199                        | 7.0.0+20251209  |
| google-compute1                               | A complete library to interact with compute (protocol v1)                                                                                                 | 72222                        | 6.0.0+20240604  |
| google-compute1-cli                           | A complete library to interact with compute (protocol v1)                                                                                                 | 14956                        | 6.0.0+20240604  |
| google-connectors1                            | A complete library to interact with Connectors (protocol v1)                                                                                              | 12506                        | 7.0.0+20250930  |
| google-connectors1-cli                        | A complete library to interact with Connectors (protocol v1)                                                                                              | 5438                         | 7.0.0+20250930  |
| google-consumersurveys2                       | A complete library to interact with Consumer Surveys (protocol v2)                                                                                        | 32045                        | 7.0.0+20170407  |
| google-consumersurveys2-cli                   | A complete library to interact with Consumer Surveys (protocol v2)                                                                                        | 18835                        | 7.0.0+20170407  |
| google-contactcenterinsights1                 | A complete library to interact with Contactcenterinsights (protocol v1)                                                                                   | 12544                        | 7.0.0+20251222  |
| google-contactcenterinsights1-cli             | A complete library to interact with Contactcenterinsights (protocol v1)                                                                                   | 5382                         | 7.0.0+20251222  |
| google-container1                             | A complete library to interact with Container (protocol v1)                                                                                               | 58192                        | 7.0.0+20251216  |
| google-container1-cli                         | A complete library to interact with Container (protocol v1)                                                                                               | 32136                        | 7.0.0+20251216  |
| google-container1_beta1                       | A complete library to interact with container (protocol v1beta1)                                                                                          | 24981                        | 0.1.11+20151005 |
| google-containeranalysis1                     | A complete library to interact with Container Analysis (protocol v1)                                                                                      | 12345                        | 7.0.0+20251212  |
| google-containeranalysis1-cli                 | A complete library to interact with Container Analysis (protocol v1)                                                                                      | 5424                         | 7.0.0+20251212  |
| google-containeranalysis1_beta1               | A complete library to interact with Container Analysis (protocol v1beta1)                                                                                 | 24281                        | 7.0.0+20251212  |
| google-containeranalysis1_beta1-cli           | A complete library to interact with Container Analysis (protocol v1beta1)                                                                                 | 15832                        | 7.0.0+20251212  |
| google-content2                               | A complete library to interact with Shopping Content (protocol v2)                                                                                        | 76874                        | 7.0.0+20220303  |
| google-content2-cli                           | A complete library to interact with Shopping Content (protocol v2)                                                                                        | 31080                        | 3.1.0+20220303  |
| google-content2_sandbox                       | A complete library to interact with Shopping Content (protocol v2sandbox)                                                                                 | 58807                        | 7.0.0+20181009  |
| google-content2_sandbox-cli                   | A complete library to interact with Shopping Content (protocol v2sandbox)                                                                                 | 33172                        | 3.1.0+20181009  |
| google-coordinate1                            | A complete library to interact with coordinate (protocol v1)                                                                                              | 67372                        | 7.0.0+20150811  |
| google-coordinate1-cli                        | A complete library to interact with coordinate (protocol v1)                                                                                              | 28678                        | 3.1.0+20150811  |
| google-customsearch1                          | A complete library to interact with CustomSearch API (protocol v1)                                                                                        | 72160                        | 7.0.0+20251211  |
| google-customsearch1-cli                      | A complete library to interact with CustomSearch API (protocol v1)                                                                                        | 33217                        | 7.0.0+20251211  |
| google-datacatalog1                           | A complete library to interact with Data Catalog (protocol v1)                                                                                            | 12333                        | 7.0.0+20251210  |
| google-datacatalog1-cli                       | A complete library to interact with Data Catalog (protocol v1)                                                                                            | 5416                         | 7.0.0+20251210  |
| google-datacatalog1_beta1                     | A complete library to interact with Data Catalog (protocol v1beta1)                                                                                       | 18789                        | 7.0.0+20251210  |
| google-datacatalog1_beta1-cli                 | A complete library to interact with Data Catalog (protocol v1beta1)                                                                                       | 10500                        | 7.0.0+20251210  |
| google-dataflow1_b4                           | A complete library to interact with dataflow (protocol v1b4)                                                                                              | 8296                         | 0.1.5+20150401  |
| google-datafusion1                            | A complete library to interact with Data Fusion (protocol v1)                                                                                             | 17719                        | 7.0.0+20251203  |
| google-datafusion1-cli                        | A complete library to interact with Data Fusion (protocol v1)                                                                                             | 9085                         | 7.0.0+20251203  |
| google-datafusion1_beta1                      | A complete library to interact with Data Fusion (protocol v1beta1)                                                                                        | 24238                        | 7.0.0+20251203  |
| google-datafusion1_beta1-cli                  | A complete library to interact with Data Fusion (protocol v1beta1)                                                                                        | 15920                        | 7.0.0+20251203  |
| google-datalabeling1_beta1                    | A complete library to interact with Data Labeling (protocol v1beta1)                                                                                      | 17487                        | 7.0.0+20250723  |
| google-datalabeling1_beta1-cli                | A complete library to interact with Data Labeling (protocol v1beta1)                                                                                      | 9184                         | 7.0.0+20250723  |
| google-datamigration1                         | A complete library to interact with Database Migration Service (protocol v1)                                                                              | 17478                        | 7.0.0+20251210  |
| google-datamigration1-cli                     | A complete library to interact with Database Migration Service (protocol v1)                                                                              | 9137                         | 7.0.0+20251210  |
| google-datapipelines1                         | A complete library to interact with Datapipelines (protocol v1)                                                                                           | 12346                        | 7.0.0+20251214  |
| google-datapipelines1-cli                     | A complete library to interact with Datapipelines (protocol v1)                                                                                           | 5416                         | 7.0.0+20251214  |
| google-dataplex1                              | A complete library to interact with Cloud Dataplex (protocol v1)                                                                                          | 12430                        | 7.0.0+20251203  |
| google-dataplex1-cli                          | A complete library to interact with Cloud Dataplex (protocol v1)                                                                                          | 5419                         | 7.0.0+20251203  |
| google-dataproc1                              | A complete library to interact with Dataproc (protocol v1)                                                                                                | 56245                        | 7.0.0+20251203  |
| google-dataproc1-cli                          | A complete library to interact with Dataproc (protocol v1)                                                                                                | 31240                        | 3.1.0+20220224  |
| google-datastore1                             | A complete library to interact with datastore (protocol v1)                                                                                               | 52930                        | 7.0.0+20251216  |
| google-datastore1-cli                         | A complete library to interact with datastore (protocol v1)                                                                                               | 18780                        | 7.0.0+20251216  |
| google-datastore1_beta2                       | A complete library to interact with datastore (protocol v1beta2)                                                                                          | 27812                        | 0.1.13+20160314 |
| google-datastore1_beta3                       | A complete library to interact with datastore (protocol v1beta3)                                                                                          | 29321                        | 7.0.0+20251216  |
| google-datastore1_beta3-cli                   | A complete library to interact with datastore (protocol v1beta3)                                                                                          | 17736                        | 7.0.0+20251216  |
| google-datastream1                            | A complete library to interact with Datastream (protocol v1)                                                                                              | 12264                        | 7.0.0+20251210  |
| google-datastream1-cli                        | A complete library to interact with Datastream (protocol v1)                                                                                              | 5357                         | 7.0.0+20251210  |
| google-deploymentmanager2                     | A complete library to interact with Deployment Manager (protocol v2)                                                                                      | 59044                        | 7.0.0+20251205  |
